Species	Taxon Group	Common Name	Estimated Genome Size (Mb)	Log Estimated Genome Size 	Assembly Genome Size (Mb)	Log Assembly Genome Size	Genome Size in Database (Mb)	Additional Measurements (Mb)	Difference Between Estimated and Assembly Size (Mb)	Log Difference Between Estimated and Assembly Size	(Est-Ass/Est)*100	Genomic GC content (%)	Gene Number	Log Gene Number	Average Coding Size/Gene (Exonic bp)	Log Average Coding Size	Coding Amount(Exonic Mb)	Log Coding Amount	Coding Proportion of Estimated Genome Size 	Pseudogene Number	Average Exon Size (bp)	Log Average Exon Size	Average Intron Size (bp)	Log Average Intron Size	Intron Number	Log Intron Number	Intron Amount (Mb)	Log Intron Amount	Introns Proportion Of Assembly	Introns Proportion of Estimate	TE Amount in Assembly (Mb)	Log TE Amount in Assembly	TE Number	Log TE Number	TE Proportion of Estimate	TE Proportion of Assembly	Repeat Amount in Assembly (Mb)	Log Repeat Amount in Assembly	Repeats Prop of Assembly	Repeats Proportion of Estimated Genome Size	Chromosome Number (1n)	Estimated Genome Size/Chromosome Number	Coverage (x)
Umbillicaria muehlenbergii KoLRILF000956	Fungi		34.81	1.5417040233	34.81	1.5417040233	NA				?	47.12	8294	3.918764031																													
Rhizomucor miehei	Fungi		27.6	1.4409090821	27.6	1.4409090821					?	43.8	10245	4.0105119627	1246.15	3.0955703218	12.7668	1.1060820549	0.4625652174		249.23	2.3966003175	90	1.9542425094	41834	4.6215293921	3.765	0.5757649805	0.1364130435	0.1364130435							0.87492	-0.0580316557	0.0317	0.0317			
Ochroconis constricta UM578	Fungi		34.6	1.5390760988	34.6	1.5390760988	NA				?	52.1	11652	4.066400476																													
Cladonia metacorallifera KoLRI002260	Fungi		36.68	1.564429327	36.68	1.564429327	NA				?	44.91	11361	4.0554165598																													
Cladonia macilenta KoLRI003786	Fungi		37.11	1.5694909543	37.11	1.5694909543	NA				?	44.68	7322	3.8646297245																													
Phaeomoniella chlamydospora RR-HG1	Fungi		26.59	1.4247183373	26.59	1.4247183373	NA				?		7279	3.8620717194																													
Flammulina velutipes KACC43778	Fungi		35.6	1.551449998	35.6	1.551449998	NA				?	48.99	12218	4.0870001208	1425.06	3.15383315	17.411	1.2408237155	0.4890730337		245.7	2.3904051565	180.4	2.2562365332													3.567	0.5523031093	0.1001966292	0.1001966292	11	3.2363636364	
Umbellopsis isabellina NBRC 7884	Fungi		22.59	1.3539162309	22.59	1.3539162309	NA				?	41.79	9081	3.9581336757																													
Moniliophthora roreri	Fungi		52.3	1.7185016889	52.3	1.7185016889	NA				?	46.88	13760	4.1386184339																							7.06	0.8488047011	0.1349904398	0.1349904398			
Ceratocystis fimbriata	Fungi		29.41	1.4684950245	29.41	1.4684950245	NA				?	48.06	7266	3.8612953935																													
Pseudozyma aphidis DSM70725	Fungi		35.14	1.5458017572	35.14	1.5458017572	NA				?	61.2	6011	3.778946728																													
Shiraia sp. strain Slf14	Fungi		32	1.5051499783	32	1.5051499783	NA				?	47.95	12513	4.0973614446																													
Pyrenophora semeniperda 	Fungi		40.1	1.6031443726	40.1	1.6031443726	NA				?	49.98	11453	4.0589192607	1312	3.117933835	15.026	1.1768433845	0.374713217												0.6107	-0.21417208			0.0152294264	0.0152294264	0.8645	-0.0632350024	0.0215586035	0.0215586035			
Penicillium aurantiogriseum NRRL 62431	Fungi		32.7	1.5145477527	32.7	1.5145477527	NA				?		11476	4.0597905396																													
Mortierella alpina isolate CDC-B6842	Fungi		39.53	1.5969268143	39.53	1.5969268143	NA				?	50.4	9666	3.9852467908																													
Sclerotinia borealis	Fungi		39.3	1.5943925504	39.3	1.5943925504	NA				?	42	10171	4.0073636543																													
Byssochlamys spectabilis NBRC109023	Fungi		29.76	1.4736329269	29.76	1.4736329269	NA				?	48.58	8877	3.9482662199	1614.6	3.2080649481	14.3328	1.1563310408	0.4816129032		468	2.6702458531	118	2.0718820073	21774	4.3379382186	2.569	0.4097641043	0.0863239247	0.0863239247													
Mixia osmundae IAM14324	Fungi		13.63	1.1344958558	13.63	1.1344958558					?	55.5	6903	3.8390378734	1570.125	3.1959342286	10.8385	1.0349691819	0.7951944241		184	2.264817823															0.020445	-1.6894128851	0.0015	0.0015			
Rhizophagus irregularis DAOM-197198	Fungi		154.8	2.1897709563	154.8	2.1897709563	NA				?	28	28232	4.4507416454	899.5	2.9540011677	25.395	1.4047482172	0.1640503876		257	2.4099331233	123	2.0899051114							17.4924	1.2428493998			0.113	0.113	55.728	1.7460734571	0.36	0.36			
Cryptococcus  neofromans var. grubii	Fungi		18.9	1.2764618042	18.9	1.2764618042	20				?		6967	3.8430458105											40946	4.6122114821															14	1.35	
Colletotrichum acutatum	Fungi		49.01	1.6902847025	49.01	1.6902847025	NA				?	52.5	13759	4.1385868707																													
Hanseniaspora vinea T02/19AF	Fungi		11.4	1.0569048513	11.4	1.0569048513	NA				?	37	4733	3.6751365045																													
Sporothrix schenkii ATCC 58251	Fungi		32.23	1.5082603055	32.23	1.5082603055					?	55.2	8674	3.9382194178																													
Tilletiaria anomala	Fungi		18.7	1.2718416065	18.7	1.2718416065	NA				?	56	6810	3.8331471119																													
Colletotrichum sublineola	Fungi		46.75	1.6697816152	46.75	1.6697816152	NA				?	52.7	12699	4.1037695232																													
Pycnoporus cinnabarinus	Fungi	white rot	33.6	1.5263392774	33.6	1.5263392774	NA				?	52.55	10442	4.0187836889	1774.36	3.2490417385	18.528	1.267828542	0.5514285714		257.42	2.410642286									1.7808	0.250615147			0.053	0.053	0.75856	-0.120010062	0.0225761905	0.0225761905			
Mortierella alpina ATCC32222	Fungi		38.38	1.5841049704	38.38	1.5841049704	NA				?	51.72	12796	4.1070742314							435	2.638489257	140	2.1461280357							0.675855	-0.1701464689			0.0176095623	0.0176095623	2.8008	0.4472820978	0.0729755081	0.0729755081			
Batrachochytrium dendrobatidis JAM81	Fungi		24.3	1.3856062736	24.3	1.3856062736					?		8372	3.9228292197																													
Piriformospora indica	Fungi		24.98	1.397592434	24.98	1.397592434	NA				?	50.68	11769	4.0707395628	1312	3.117933835	15.45	1.1889284838	0.6184947958		255	2.4065401804	57.4	1.7589118924	48918	4.6894686927	2.808	0.4483971035	0.1124099279	0.1124099279	1.169064	0.0678382871			0.0468	0.0468	1.17	0.0681858617	0.04683747	0.04683747	6	4.1633333333	
Fibroporia radiculosa	Fungi		33.6	1.5263392774	33.6	1.5263392774	NA				?		9262	3.9667047767	1432	3.155943018	13.263	1.1226417696	0.3947321429		221	2.3443922737	70	1.84509804																			
Myceliophthora thermophila	Fungi		38.7	1.587710965	38.7	1.587710965					?	51.4	9110	3.959518377																											7	5.5285714286	
Thielavia terrestris	Fungi		36.9	1.5670263662	36.9	1.5670263662					?	54.7	9813	3.9918017988																											6	6.15	
Glarea lozoyensis ATCC 74030	Fungi		38.6	1.5865873047	38.6	1.5865873047	NA				?	46.051	7904	3.8978469316																													
Uncinocarpus reesii	Fungi		22.3	1.348304863	22.3	1.348304863	30				?	48.2	7798	3.8919832309	1433	3.1562461904	11.175	1.0482475318	0.5011210762		477.67	2.6791279663	98	1.9912260757	15596	4.1930132265	1.5284	0.184237029	0.0685381166	0.0685381166							0.892	-0.0496351456	0.04	0.04	4	5.575	
Penicillium marneffei PM1	Fungi		28.89	1.4607475418	28.89	1.4607475418	NA				?	47	10060	4.0025979807									111	2.0453229788	28180	4.4499409888	3.128	0.4952667444	0.1082727587	0.1082727587											8	3.61125	
Aspergillus kawachii IFO 4308	Fungi		36.58	1.5632437011	36.58	1.5632437011	NA				?	49.9	11488	4.0602444269																													
Debaryomyces hansenii Strain:MTCC 234	Fungi		11.46	1.0591846176	11.46	1.0591846176	12.2				?	35.42	5313	3.7253398159																											7	1.6371428571	
Wickerhamomyces anomalus DSM 6766	Fungi		25.47	1.406028945	25.47	1.406028945					?	33.1	11512	4.0611507809						263																							
Aureobasidium pullulans AY4	Fungi		26.72	1.4268364538	26.72	1.4268364538	NA				?	49.82	10288	4.0123309556																													
Daldinia eschscholzii	Fungi		35.49	1.5501059993	35.49	1.5501059993	NA				?	46.8	11445	4.058615797																													
Histoplasma capsulatum	Fungi		33	1.5185139399	33	1.5185139399	28.07				?	42.8	9390	3.9726655923	1305	3.1156105117	12.254	1.088277876	0.3713333333		522	2.717670503	143	2.1553360375	23475	4.3706056009	3.3569	0.5259384041	0.1017242424	0.1017242424							7.4	0.8692317197	0.2242424242	0.2242424242	7	4.7142857143	
Wallemia sebi CBS 633.66	Fungi		9.8	0.9912260757	9.8	0.9912260757	NA				?		5284	3.7229628089																													
Cochliobolus heterostrophus C5	Fungi		36.46	1.5618166643	36.46	1.5618166643					?		13336	4.1250255868																							3.28	0.5158738437	0.0899616018	0.0899616018	16	2.27875	
Cochliobolus sativus	Fungi		34.42	1.536810866	34.42	1.536810866					?		12250	4.0881360887																							2.07	0.3159703455	0.0601394538	0.0601394538			
Setosphaeria turcica	Fungi		43.01	1.6335694426	43.01	1.6335694426					?		11702	4.0682600938																							5.57	0.7458551952	0.1295047663	0.1295047663			
Kluyveromyces waltii	Fungi		10.7	1.0293837777	10.7	1.0293837777	10.805				?		5230	3.7185016889																											8	1.3375	
Enterocytozoon bieneusi	Fungi		6	0.7781512504	6	0.7781512504	NA				?	25	3804	3.5802405083	995	2.9978230807	3.785	0.5780658838	0.6308333333						19	1.278753601															11	0.5454545455	
Encephalitozoon intestinalis	Fungi		2.3	0.361727836	2.3	0.361727836	2.22				?	41.4	1833	3.263162465	1041	3.0174507295	1.908	0.2805783704	0.8295652174						14	1.1461280357															11	0.2090909091	
Homolaphlyctis polyrhiza	Fungi		26.7	1.4265112614	26.7	1.4265112614	NA				?		8606	3.9348013417																													
Malassezia globosa	Fungi		8.96	0.9523080097	8.96	0.9523080097					?	52	4286	3.6320521667	1447	3.1604685311	6.2018	0.7925177567	0.6921651786		975	2.9890046157	76	1.8808135923	2092	3.3205616802	0.158992	-0.7986247275	0.0177446429	0.0177446429	0.018217	-1.7395231417			0.0020331473	0.0020331473	0.067266	-1.172204397	0.0075073661	0.0075073661			
Postia placenta	Fungi		90.9	1.9585638832	90.9	1.9585638832					?		17173	4.2348461699																							4.545	0.6575338876	0.05	0.05			
Nectria haematococca MPVI	Fungi		54.43	1.7358383343	54.43	1.7358383343					?		15707	4.1960932437	1503.04	3.1769705385	23.60825	1.3730637955	0.4337359912		488	2.688419822	84	1.9242792861													2.78	0.4440447959	0.0510747749	0.0510747749	17	3.2017647059	
Grosmannia clavigera 	Fungi		29.8	1.4742162641	29.8	1.4742162641	32.5				?	53.4	8314	3.9198100202																							3.0992	0.4912496034	0.104	0.104	7	4.2571428571	
Colletotrichum graminicola	Fungi		57.44	1.7592144312	57.44	1.7592144312	NA				?	49.12	12006	4.079398339	1256.63	3.0992074236	18.67	1.2711443179	0.3250348189																		7.02	0.8463371121	0.1222144847	0.1222144847	13	4.4184615385	
Colletotrichum higginsianum	Fungi		53.35	1.7271344238	53.35	1.7271344238	NA				?	55.1	16172	4.2087637327	1190.328	3.0756666496	19.25	1.2844307338	0.3608247423																		4.85485	0.6861758161	0.091	0.091	12	4.4458333333	
Sclerotinia sclerotiorum	Fungi		38.3	1.583198774	38.3	1.583198774	NA				?	41.8	14522	4.1620264324																	2.681	0.428296814			0.07	0.07	2.9491	0.4696894991	0.077	0.077	16	2.39375	
Botrytis cinerea B05.10	Fungi		42.3	1.6263403674	42.3	1.6263403674	42.66				?	43.1	10427	4.0181593735																	0.3807	-0.4194171232			0.009	0.009	1.8612	0.2697930439	0.044	0.044	16	2.64375	
Botrytis cinerea T4	Fungi		39.5	1.5965970956	39.5	1.5965970956					?	43.2	10467	4.0198222242																	0.2765	-0.5583048644			0.007	0.007	1.3035	0.1151110355	0.033	0.033	16	2.46875	
Penicillium digitatum Strain Pd1	Fungi		26	1.414973348	26	1.414973348	NA				?	48.9	8969	3.952744024																							0.3614	-0.4420118518	0.0139	0.0139			
Aspergillus niger CBS 513.88	Fungi		33.9	1.5301996982	33.9	1.5301996982					?	50.4	14165	4.1512165789							371.6	2.5700757053	97	1.9867717343	36404	4.5611491057	3.53119	0.5479210859	0.1041648968	0.1041648968											9	3.7666666667	
Aspergillus niger ATCC 1015	Fungi		34.85	1.5422027824	34.85	1.5422027824					?		11200	4.0492180227							480.8	2.681964459	93.8	1.9722028384																	9	3.8722222222	
Mycosphaerella graminicola	Fungi		39.67	1.5984622005	39.67	1.5984622005					?		10933	4.0387393481																											21	1.889047619	
Neurospora tetrasperma	Fungi		39.1	1.5921767574	39.1	1.5921767574					?		10380	4.0161973535	1404	3.1473671078	14.574	1.1635787652	0.3727365729		579	2.7626785637	154	2.1875207208																			
Coccidioides immitis  RS	Fungi		28.95	1.4616485681	28.95	1.4616485681	28.58				?	46	10355	4.0151501032	1441	3.1586639808	14.922	1.1738270357	0.5154404145		423.82	2.6271814471															5.515	0.7415455168	0.1905008636	0.1905008636	5	5.79	
Coccidioides posadasii RMSCC_3488	Fungi		28.15	1.4494783992	28.15	1.4494783992	28.85				?	46.6	7229	3.8590782247	1824	3.261024834	13.186	1.1201130714	0.4684191829		552.73	2.742513037															4.75	0.6766936096	0.1687388988	0.1687388988	5	5.63	
Blumeria graminis f.sp. hordei	Fungi		120	2.079181246	120	2.079181246	45?				?		5854	3.7674527181																	76.8	1.88536122			0.64	0.64							
Ustilago hordei	Fungi		26.1	1.4166405073	26.1	1.4166405073					?	52	7113	3.8520528087	1693.71	3.2288390517	12.047	1.0808789103	0.4615708812		1107	3.0441476209	141	2.1492191127	3161	3.4998244958	0.445701	-0.3509563915	0.0170766667	0.0170766667							1.56	0.1931245984	0.0597701149	0.0597701149	23	1.1347826087	
Ustilago maydis	Fungi		19.8	1.2966651903	19.8	1.2966651903					?	54	6522	3.8143807945	1771.2	3.2482676035	9.59516	0.982052221	0.4846040404		1230	3.0899051114	142	2.1522883444	2996	3.476541809	0.425432	-0.3711698466	0.0214864646	0.0214864646							0.172998	-0.7619589176	0.0087372727	0.0087372727	23	0.8608695652	
Sporisorium reilianum	Fungi		18.4	1.264817823	18.4	1.264817823	NA				?	59.7	6648	3.8226910108	1794.87	3.2540329987	11.932	1.0767132447	0.6484782609		1221	3.0867156639	144	2.1583624921	3103	3.4917817756	0.446832	-0.3498557323	0.0242843478	0.0242843478							0.143	-0.8446639625	0.0077717391	0.0077717391	23	0.8	
Fusarium oxysporum	Fungi		59.9	1.7774268224	59.9	1.7774268224					?		17735	4.2488311928																	2.38402	0.3773098945			0.0398	0.0398	16.83	1.226084116	0.2809682805	0.2809682805	15	3.9933333333	
Fusarium verticillioides	Fungi		41.7	1.620136055	41.7	1.620136055	NA				?		14179	4.1516456025																	0.05838	-1.2337359093			0.0014	0.0014	0.36	-0.4436974992	0.0086330935	0.0086330935	11	3.7909090909	
Fusarium graminearum	Fungi		36.2	1.5587085705	36.2	1.5587085705					?	48.3	11640	4.0659529803											25895	4.4132159154					0.01086	-1.9641701747			0.0003	0.0003	0.24	-0.6197887583	0.0066298343	0.0066298343	4	9.05	
Agaricus bisporus H97	Fungi		30.387	1.4826878259	30.387	1.4826878259					?		10438	4.0186172925	1415	3.1507564399					234	2.3692158574	71	1.8512583487							3.3972666	0.5311296294			0.1118	0.1118					13	2.3374615385	
Candida tenuis	Fungi		10.7	1.0293837777	10.7	1.0293837777	10.7				?	42.9	5533	3.7429606702	1341	3.1274287779					1332	3.1245042248	171	2.2329961104																			
Spathaspora passalidarum	Fungi		13.2	1.1205739312	13.2	1.1205739312					?	42	5983	3.7769190028	1353	3.1312977966					1428	3.1547282074	321	2.5065050324																			
Hansenula polymorpha CBS4732	Fungi		9.5	0.9777236053	9.5	0.9777236053	NA				?	47.9	5933	3.7732743483	1311	3.1176026917																									6	1.5833333333	
Candida orthopsilosis	Fungi		12.7	1.103803721	12.7	1.103803721	NA				?		5700	3.7558748557											387	2.587710965															8	1.5875	
Epichloë amarillans	Fungi		38	1.5797835966	38	1.5797835966	NA				?	44					10.9	1.0374264979	0.2868421053																		14.744	1.1686153222	0.388	0.388			
E. brachyelytri	Fungi		44.1	1.6444385895	44.1	1.6444385895	NA				?	40					16.5	1.2174839442	0.3741496599																		19.8009	1.2966849305	0.449	0.449			
E. festucae E2368	Fungi		34.7	1.5403294748	34.7	1.5403294748					?	44					11	1.0413926852	0.3170028818																		10.1324	1.0057123262	0.292	0.292			
E. glyceriae	Fungi		49.3	1.6928469193	49.3	1.6928469193	NA				?	45					11.1	1.0453229788	0.2251521298																		18.5368	1.2680347642	0.376	0.376			
E. typhina E8	Fungi		41.3	1.6159500517	41.3	1.6159500517	41.44				?	42					10.3	1.0128372247	0.2493946731																		12.3487	1.09162124	0.299	0.299			
Neotyphodium gansuense	Fungi		39.5	1.5965970956	39.5	1.5965970956	NA				?	44					11.7	1.0681858617	0.2962025316																		10.5412	1.0228900534	0.2668658228	0.2668658228			
N. gansuense var. inebrians	Fungi		29.2	1.4653828514	29.2	1.4653828514	NA				?	47					11.2	1.0492180227	0.3835616438																		4.0004	0.6021034186	0.137	0.137			
E. festucae F11	Fungi		34.9	1.542825427	34.9	1.542825427					?	44					10.9	1.0374264979	0.3123209169																		9.3881	0.972577707	0.269	0.269			
E. typhina E5819	Fungi		34	1.531478917	34	1.531478917	34.19				?	43					10.5	1.0211892991	0.3088235294																		14.144	1.1505722477	0.416	0.416			
E. elymi	Fungi		31.8	1.50242712	31.8	1.50242712	NA				?	47					10.8	1.0334237555	0.3396226415																		8.1726	0.9123602433	0.257	0.257			
Blumeria graminis f. sp. tritici	Fungi		180	2.2552725051	97.4	1.9885589569	NA		82.6	1.9169800473	45.8888888889		6540	3.8155777483																	162	2.2095150145			0.9	1.6632443532	87.66	1.9428014663	0.9	0.487	7	25.7142857143	13
Leucoagaricus gongylophorus	Fungi		101.58	2.0068082085	101.58	2.0068082085	NA				?	47	12132	4.0839324016																													
Armillaria mellea	Fungi		58.35	1.7660408604	58.35	1.7660408604	59.82				?	49.1	14473	4.1605585621	1227.75	3.0891099428					217.52	2.3374991946	73.62	1.8669958131																			
Rhizoctonia solani AG1-1B is 7/3/14	Fungi		43.55	1.6389881593	43.55	1.6389881593	NA	52.4-71.5			?	48.1	12422	4.0941915249	1070	3.0293837777					214	2.3304137733	66	1.8195439355																			
Pachysolen tannophilus	Fungi		13.6	1.1335389084	13.6	1.1335389084	12.24				?	29.82	5346	3.7280289544																											8	1.7	
Phanerochaete carnosa	Fungi		46.3	1.665580991	46.3	1.665580991	46.29				?		13937	4.1441693	939	2.9726655923					159	2.2013971243	57	1.7558748557																			
Ceriporiopsis subvermispora	Fungi		39	1.591064607	39	1.591064607					?		12125	4.0836817473	1607.47	3.2061428765					241	2.3820170426	72.8	1.8621313793													0.468	-0.3297541469	0.012	0.012			
Ascosphaera apis	Fungi		21.5	1.3324384599	21.5	1.3324384599	25.33				?																																
Ascocoryne sarcoides 	Fungi		34	1.531478917	34	1.531478917					?		10831	4.0346685558																													
Rozella allomycis	Fungi	Cryptomycotan	11.86	1.074084689	11.86	1.074084689	NA				?		6350	3.8027737253																													
Hortaea werneckii	Fungi		51.6	1.7126497016	51.6	1.7126497016	NA				?	54	23333	4.367970581																	0.258	-0.588380294			0.005	0.005	0.52623	-0.2788243967	0.0101982558	0.0101982558	13	3.9692307692	
Spraguea lophii 	Fungi		6.75	0.8293037728	6.75	0.8293037728	NA	6.2-7.3			?	23.4	2573	3.4104397862			3.51	0.5453071165	0.52																						15	0.45	
Schizophyllum commune	Fungi		38.5	1.5854607295	38.5	1.5854607295	38.183				?		13210	4.1209028176	1421.01	3.1525971342					249.3	2.3967222785	79	1.8976270913							4.0887	0.6115852463			0.1062	0.1062	4.312	0.6346787522	0.112	0.112	14	2.75	
Ophiocordyceps sinensis	Fungi	caterpillar fungus	120	2.079181246	87.7	1.9429995934	NA	NA	32.3	1.5092025223	26.9166666667	46.1	6972	3.8433573784						1110																	33.30846	1.5225545538	0.3798	0.2775705			241
Serpula lacrymans S7.9	Fungi	dry rot fungus	43	1.6334684556	43	1.6334684556					?		12917	4.1111616596	1243.2	3.0945410015					222	2.3463529745	77	1.8864907252																			
Arthrobotrys oligospora	Fungi		40.07	1.6028193424	40.07	1.6028193424	NA				?		11479	4.0599040559									90	1.9542425094													0.188188	-0.7254080733	0.0046964812	0.0046964812			
Cladosporium sphaerospermum	Fungi		31.92	1.5040628827	31.92	1.5040628827	NA				?	55.73	10020	4.0008677215																													
Eutypa lata	Fungi	grape dieback fungus	54	1.7323937598	54	1.7323937598	NA				?	46.6	11818	4.0725439856																													
Pneumocystis jirovecii	Fungi		8.1	0.9084850189	8.1	0.9084850189					?	29.5	3898	3.5908418348			5.59	0.7474118079	0.6901234568		211	2.3242824553	61	1.785329835													0.79866	-0.0976380662	0.0986	0.0986			
Melampsora laricis-populina	Fungi		101	2.0043213738	101	2.0043213738	101.1				?	41	16694	4.2225604092	1215.24	3.084662056	20.2872	1.3072221107	0.2008633663		247	2.3926969533	118	2.0718820073							45.45	1.6575338876			0.45	0.45	44.4656	1.6480241569	0.4402534653	0.4402534653			
Puccinia graminis f. sp. tritici	Fungi		88.64	1.9476297474	88.64	1.9476297474	85.07				?	43.3	20534	4.3124735577	822.5	2.9151359066	16.8892	1.2276090786	0.1905370036		175	2.2430380487	133	2.123851641							38.893	1.5898714436			0.4387748195	0.4387748195	5.9532	0.7747504731	0.0671615523	0.0671615523	18	4.9244444444	
Saccharomyces boulardii	Fungi		11.4	1.0569048513	11.4	1.0569048513	NA				?		5803	3.7636525706					0																						16	0.7125	
Wallemia ichthyophaga	Fungi		9.6	0.982271233	9.6	0.982271233	NA				?	45.35	4884	3.6887756553	1450	3.1613680022	7.083	0.8502172418	0.7378125		424	2.6273658566	61	1.785329835	11786	4.0713664368	0.719	-0.1432711096	0.0748958333	0.0748958333							0.16032	-0.7950122958	0.0167	0.0167			
Hansenula polymorpha DL-1	Fungi		9.056	0.9569364138	9.056	0.9569364138	NA				?	47.8	5325	3.7263196121	1407	3.1482940974			0		1289	3.1102529174	65	1.8129133566																	7	1.2937142857	
Kuraishia/Pichia/Hansenula capsulata	Fungi		11.8	1.0718820073	11.4	1.0569048513	NA	11.5-11.8	0.4	-0.3979400087	3.3898305085	45.7	6029	3.7802452839			8.673	0.9381693464	0.735						1063	3.0265332645															7	1.6857142857	
Pneumocystis carinii 	Fungi		7	0.84509804	7	0.84509804	7.33				?	32.5	4591	3.6619072928			3.5	0.5440680444	0.5		223	2.348304863	54	1.7323937598													0.3997	-0.3982658517	0.0571	0.0571	15	0.4666666667	
Zygosaccharomyces baili	Fungi		10.361	1.0154016737	10.361	1.0154016737	NA	NA			?	42.5	4867	3.6872613462						217																							
Caloplaca flavorubescens	Fungi		34.45	1.5371892262	34.45	1.5371892262	NA				?	41.89	9695	3.9865478134																													
Rhizophagus irregularis/Glomus intraradices	Fungi		141	2.1492191127	141	2.1492191127					?		27392	4.437623743																	56.4	1.751279104			0.4	0.4							
Ophiostoma piceae	Fungi		33	1.5185139399	33	1.5185139399	NA				?	52.8	8884	3.9486085499	1401	3.1464381353																											
Endocarpon pusillum	Fungi		37.5	1.5740312677	37.5	1.5740312677	NA				?	46.01	9285	3.9677819081																	5.625	0.7501225268			0.15	0.15							
Drechslerella stenobrocha	Fungi		29.02	1.4626974081	29.02	1.4626974081	NA				?	52.5	7781	3.8910354153																													
Melampsora lini	Fungi	flax rust	215.272	2.3329875457	189.4	2.2773799747			25.872	1.4128300026	12.0182838456	41	16271	4.2114142451						8215											86.95354	1.9392872674			0.4039240589	0.4591	101.002	2.0043299736	0.5332734952	0.4691831729			
Aciculosporium take	Fungi		58.7	1.7686381012	58.7	1.7686381012	NA				?	40					9.4	0.9731278536	0.1601362862																		33.4003	1.5237503676	0.569	0.569			
Claviceps fusiformis	Fungi		52.3	1.7185016889	52.3	1.7185016889	NA				?	37					11.9	1.0755469614	0.2275334608																		23.9011	1.3784178889	0.457	0.457			
Claviceps paspali	Fungi		28.9	1.4608978428	28.9	1.4608978428	NA				?	48					10	1	0.3460207612																		5.0575	0.7039358914	0.175	0.175			
Claviceps purpurea	Fungi		20.1	1.3031960574	20.1	1.3031960574					?	52					12.2	1.0863598307	0.6069651741																		0.9447	-0.0247060846	0.047	0.047			
Periglandula ipomoeae	Fungi		35.3	1.5477747054	35.3	1.5477747054	NA				?	51					15.9	1.2013971243	0.4504249292																		0.00353	-2.4522252946	0.0001	0.0001			
Tremella mesenterica	Fungi		28	1.4471580313	28	1.4471580313	28.6				?		8313	3.9197577805																	5.3676	0.7297801442			0.1917	0.1917							
Dacryopinax sp	Fungi		27.6	1.4409090821	27.6	1.4409090821	29.5				?		10242	4.0103847715																	1.32756	0.1230541584			0.0481	0.0481							
Wolfiporia cocos	Fungi		48.24	1.6834072991	48.24	1.6834072991	NA				?		12746	4.1053739141																	13.512024	1.130720408			0.2801	0.2801							
Stereum hirsutum	Fungi		45.64	1.6593456357	45.64	1.6593456357					?		14072	4.1483558264																	1.410276	0.1493041152			0.0309	0.0309							
Punctularia strigosozonata	Fungi		33.07	1.5194341949	33.07	1.5194341949					?		11538	4.0621305346																	1.716333	0.2346015528			0.0519	0.0519							
Gloeophyllum trabeum 	Fungi		34.43	1.5369370227	34.43	1.5369370227					?		11846	4.0735717283																	2.781944	0.4443483835			0.0808	0.0808							
Fomitopsis pinicola	Fungi		42.06	1.6238692684	42.06	1.6238692684					?		14724	4.1680258088																	3.945228	0.5960721067			0.0938	0.0938							
Fomitiporia mediterranea	Fungi		56.77	1.7541188942	56.77	1.7541188942	63.35?				?		11333	4.0543448888																	23.514134	1.3713289888			0.4142	0.4142							
Dichomitus squalens	Fungi		39.45	1.5960470075	39.45	1.5960470075	NA				?		12290	4.0895518829																	3.609675	0.5574681016			0.0915	0.0915							
Coniophora puteana	Fungi		41.86	1.621799224	41.86	1.621799224	42.97?				?		13761	4.1386499949																	1.753934	0.244013247			0.0419	0.0419							
Auricularia delicata	Fungi		69.05	1.8391636829	69.05	1.8391636829	74.92?				?		23577	4.3724885435																	7.29168	0.8628276011			0.1056	0.1056							
Lignosus rhinocerotis	Fungi	Tiger milk mushroom	34.3	1.53529412	34.3	1.53529412	NA				?	53.71	10742	4.031085148	1414.33	3.1505507535					234.3	2.3697722886	85.21	1.9304905653							0.69629	-0.157209842			0.0203	0.0203	1.374	0.1379867327	0.040058309	0.040058309			
Cyberlindnera/Hansenula/Pichia/Lindnera fabianii	Fungi		12.362	1.0920887393	12.362	1.0920887393	NA				?	44.4	5944	3.7740788008																													
Wickerhamomyces ciferrii NRRL Y-1031 F-60-10	Fungi		15.9	1.2013971243	15.9	1.2013971243	NA				?	30.4	6702	3.8262044235																													
Yarrowia lipolytica	Fungi		20.5	1.3117538611	20.5	1.3117538611					?	49	6580	3.8182258936	1467	3.1664301138	9.43	0.9745116927	0.46				268.69	2.4292515033	742	2.8704039053	0.199365	-0.7003510829	0.009725122	0.009725122											6	3.4166666667	
Debaryomyces hansenii Strain:CBS767	Fungi		12.2	1.0863598307	12.2	1.0863598307					?	36.3	6395	3.8058405488	1437	3.1574567681	9.05	0.9566485792	0.7418032787																						7	1.7428571429	
Candida glabrata	Fungi		12.3	1.0899051114	12.3	1.0899051114	12.3				?	38.8	5204	3.7163372879	1521	3.1821292141	7.89	0.8970770032	0.6414634146				451.7	2.6548500906	84	1.9242792861	0.037943	-1.4208683342	0.0030847967	0.0030847967											13	0.9461538462	

